id,name,venue_id
1100,Store Support Center,1100
1111,Shedd Aquarium Store,1111
1113,Marineland,1113
1121,Indianapolis Zoo Store,1121
1201,Chicago Childrens Museum Store,1201
1202,COSI Columbus Store,1202
1203,Kansas City Science Cntr Store,1203
1204,Pacific Science Center Store,1204
1301,LA Natural History Museum Stre,1301
1302,Page Museum Store,1302
1303,New York State Museum Store,1303
1403,HFM Exhibit Store,1550
1404,MoS Exhibit Store,1516
1410,MSI Exhibit Store,1519
1413,PSC Spy Exhibit Store,1413
1424,COSI Exhibition Store,1202
1425,ROM Exhibition Boutique,1525
1426,Franklin Exhibit 1,1568
1427,Franklin Exhibit 2,1568
1428,Discovery PL Exhibition,1505
1429,SDNHM Exhibit Store,1429
1432,OSC Exhibit,1564
1437,CMZ Dino Exhibit Store,1555
1438,DTS Exhibit Stores,1438
1439,OMSI Mummies Store,1585
1440,Rubix,1541
1441,DBG Chihuly Exhibit Store,1581
1443,Starwars Tech,1535
1444,Perot Exhibit Store,1574
1447,LANHM Exhibit Store,1301
1453,ANSP Chocolate Exhibit Store,1580
1459,LANHM Exhibit 2,1301
1501,Times Square Store,1501
1502,USS Midway Store,1502
1503,Boston Childrens Museum Store,1503
1504,San Diego Air & Spce Musm Stre,1504
1505,Discovery Place Store,1505
1508,Longwood Gardens Store,1508
1509,Penn Museum Store,1509
1513,Seattle Aquarium Store,1513
1514,Mystic Aquarium Store,1514
1515,Philadelphia Zoo Store,1515
1516,MoS Boston Store,1516
1517,Lincoln Museum Store,1517
1518,National Aquarium Store,1518
1519,MSI Chicago Store,1519
1521,Port Discovery Store,1521
1522,Great Lakes Science Cntr Store,1522
1523,South Carolina Aquarium Store,1523
1524,Griffith Observatory Store,1524
1525,ROM Boutique,1525
1526,Phoenix Zoo Store,1526
1527,Florida Aquarium Store,1527
1529,Mystic Seaport Museum Store,1529
1530,Newseum Store,1530
1531,Gettysburg Museum Store,1531
1532,California Academy of Sciences,1532
1533,Pacific Aviation Museum Store,1533
1535,Tech Museum Store,1535
1538,Polynesian Cultural Cntr Store,1538
1539,New York Hall of Science Store,1539
1540,Independence Visitor Cntr Stre,1540
1541,Liberty Science Center Store,1541
1542,Henry Ford Museum Store,1550
1543,Old Sturbridge Village Store,1543
1544,Philadelphia City Hall Store,1544
1547,Childrens Museum of Phoenix,1547
1548,Connecticut Sci Center Store,1548
1549,Fords Theatre Store,1549
1550,Greenfield Village Store,1550
1551,Chicago Botanic Garden Shop,1551
1552,Washington Natl Cathedral Stre,1552
1553,Garden of the Gods Store,1553
1554,Seven Falls Store,1554
1555,Cleveland Metroparks Zoo Store,1555
1556,New England Aquarium Store,1556
1558,Willis Tower Chicago Store,1558
1559,Basketball Hall of Fame Store,1559
1560,Chicago History Museum,1560
1561,Adler Planetarium,1561
1562,Georgia Aquarium Store,1562
1564,Orlando Science Center,1564
1565,Kohl Childrens Museum,1565
1566,Chabot Space & Science Center,1566
1567,SD Nat History Museum Store,1429
1568,Franklin Institute Store,1568
1569,Brevard Zoo Shop,1569
1570,Texas State Aquarium Store,1570
1572,Telus Spark Store,1572
1573,MOB Museum,1573
1574,Perot,1574
1575,Brooklyn Botanic Garden,1575
1576,LeMay Car Museum,1576
1577,Battleship Iowa,1577
1578,Cleveland Museum of Nat Histry,1578
1579,Alamo Gift Museum,1579
1580,Academy Of Natural Sciences,1580
1581,Desert Botanical Garden,1581
1582,College Football Hall of Fame,1582
583,Smithsonian DWRC,1583
584,Smithsonian Renwick,1584
1585,Oregon Musm Sci & Indstry Stre,1585
1586,Missouri Botanical Garden,1586
1587,Reunion Tower Store,1587
1588,Living Planet Aquarium,1588
1589,Prairie Fire Store,1589
1590,Alcatraz Cruises,1590
1592,Lincoln at Union Station,1592
1593,Woodland Park Zoo,1593
1594,Oregon Zoo,1594
1595,360 Chicago,1595
1596,Calgary Tower,1596
1598,Intrepid,1598
1599,NMMC,1599
1602,Maritime Aquarium,1602
701,AMNH 701,1701
702,AMNH 702,1701
703,AMNH 703,1701
704,AMNH 704,1701
1802,UCSD Hillcrest Gift Shop,1802
3430,Spy Exhibit Store,1438
3456,Art of the Brick Boston,3456
1454,Queen Mary Ex - Dark Harbor,1597
1455,Queen Mary Ex - Diana,1597
1597,Queen Mary - Main location,1597
1600,NMMC Web Store,1599
1601,Mega Genius Supply Store,1601
1801,UCSD La Jolla Gift Shop,1801
